name,vintage,type,score,prediction,difference
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2001,brunello,97,94.654984.5,2.345016.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2004,brunello,94,93.997612.5,0.002388.5
Altesino Brunello di Montalcino,2004,brunello,92,93.727486.5,-1.727486.5
Argiano Brunello di Montalcino,2004,brunello,96,93.850204.5,2.149796.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2004,brunello,96,94.157303.5,1.842697.5
Tenute Silvio Nardi Brunello di Montalcino,2004,brunello,92,93.881042.5,-1.881042.5
Banfi Brunello di Montalcino,2004,brunello,93,93.850204.5,-0.850204.5
Casanova di Neri Brunello di Montalcino Cerretalto,2004,brunello,98,94.949814.5,3.050186.5
Uccelliera Brunello di Montalcino,2004,brunello,96,94.096008.5,1.903992.5
Fuligni Brunello di Montalcino,2004,brunello,96,93.911743.5,2.088257.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2005,brunello,93,94.052826.5,-1.052826.5
Vitanza Brunello di Montalcino,2004,brunello,94,93.807327.5,0.192673.5
Fuligni Brunello di Montalcino,2005,brunello,92,93.923973.5,-1.923973.5
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2001,brunello,100,97.412949.5,2.587051.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2005,brunello,90,93.887115.5,-3.887115.5
Valdicava Brunello di Montalcino,2004,brunello,95,94.218727.5,0.781273.5
Valdicava Brunello di Montalcino,2006,brunello,97,94.255463.5,2.744537.5
Capanna Brunello di Montalcino,2006,brunello,95,93.733391.5,1.266609.5
Casanova di Neri Brunello di Montalcino White Label,2006,brunello,92,93.764221.5,-1.764221.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2006,brunello,100,94.378311.5,5.621689.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2006,brunello,96,93.887070.5,2.112930.5
Poggio Antico Brunello di Montalcino,2006,brunello,95,93.899353.5,1.100647.5
Poggio Antico Brunello di Montalcino Altero,2006,brunello,95,93.880920.5,1.119080.5
Canalicchio di Sopra Brunello di Montalcino,2006,brunello,90,93.733391.5,-3.733391.5
BenMarco Malbec,2009,malbec,92,91.878555.5,0.121445.5
Banfi Brunello di Montalcino,2006,brunello,95,93.874786.5,1.125214.5
La Poderina Brunello di Montalcino,2006,brunello,95,93.788788.5,1.211212.5
Fattoria dei Barbi Brunello di Montalcino,2005,brunello,90,93.696594.5,-3.696594.5
Argiano Brunello di Montalcino,2006,brunello,92,93.813354.5,-1.813354.5
Col d'Orcia Brunello di Montalcino,2004,brunello,91,93.727486.5,-2.727486.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2006,brunello,95,93.825645.5,1.174355.5
Col d'Orcia Brunello di Montalcino,2006,brunello,94,93.819504.5,0.180496.5
Luce Della Vite Brunello di Montalcino,2006,brunello,100,94.065247.5,5.934753.5
Fuligni Brunello di Montalcino,2006,brunello,96,93.794815.5,2.205185.5
Conti Costanti Brunello di Montalcino,2006,brunello,91,93.948486.5,-2.948486.5
Camigliano Brunello di Montalcino,2006,brunello,91,93.747025.5,-2.747025.5
Fattoria dei Barbi Brunello di Montalcino,2006,brunello,90,94.132751.5,-4.132751.5
Da Vinci Brunello di Montalcino,2006,brunello,92,93.868637.5,-1.868637.5
Dona Paula Malbec Seleccion de Bodega,2009,malbec,93,92.001389.5,0.998611.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2006,brunello,95,93.887070.5,1.112930.5
Mastrojanni Brunello di Montalcino,2006,brunello,94,93.764221.5,0.235779.5
Tenute Silvio Nardi Brunello di Montalcino,2006,brunello,94,93.862503.5,0.137497.5
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2004,brunello,97,94.826973.5,2.173027.5
Valdicava Brunello Riserva Madonna del Piano,2006,brunello,100,95.047974.5,4.952026.5
Valdicava Brunello di Montalcino,2007,brunello,98,94.396797.5,3.603203.5
Canalicchio di Sopra Brunello di Montalcino,2007,brunello,92,93.799789.5,-1.799789.5
Castello Romitorio Brunello di Montalcino,2007,brunello,92,93.837875.5,-1.837875.5
Casanova di Neri Brunello di Montalcino White Label,2007,brunello,91,93.831726.5,-2.831726.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2007,brunello,97,94.150986.5,2.849014.5
Casanova di Neri Brunello di Montalcino Cerretalto,2006,brunello,99,94.986557.5,4.013443.5
Val di Suga Brunello di Montalcino,2006,brunello,92,93.794937.5,-1.794937.5
Altesino Brunello di Montalcino,2007,brunello,91,94.089569.5,-3.089569.5
Altesino Montosoli Brunello di Montalcino,2007,brunello,98,94.335251.5,3.664749.5
Altesino Brunello di Montalcino Riserva,2006,brunello,95,94.003830.5,0.996170.5
Poggio San Polo Brunello di Montalcino,2007,brunello,94,93.868576.5,0.131424.5
Poggio San Polo Brunello di Montalcino Riserva,2006,brunello,94,93.868637.5,0.131363.5
Salicutti Brunello di Montalcino Piaggione,2007,brunello,93,93.966858.5,-0.966858.5
Valdicava Brunello di Montalcino,1999,brunello,91,94.059502.5,-3.059502.5
Valdicava Brunello di Montalcino,2001,brunello,98,94.470718.5,3.529282.5
San Felice Campogiovanni Brunello di Montalcino,2007,brunello,94,93.745743.5,0.254257.5
San Felice Campogiovanni Brunello di Montalcino Il Quercione,2006,brunello,93,94.009903.5,-1.009903.5
Capanna Brunello di Montalcino,2007,brunello,94,93.831726.5,0.168274.5
Capanna Brunello di Montalcino Riserva,2006,brunello,95,94.071327.5,0.928673.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2007,brunello,96,93.917717.5,2.082283.5
Poggio Antico Brunello di Montalcino,2007,brunello,94,93.997620.5,0.002380.5
Poggio Antico Brunello di Montalcino Altero,2007,brunello,98,94.022194.5,3.977806.5
Poggio Antico Brunello di Montalcino Riserva,2006,brunello,94,94.286362.5,-0.286362.5
Pietranera Brunello di Montalcino,2007,brunello,90,93.739594.5,-3.739594.5
La Serena Brunello di Montalcino,2007,brunello,94,93.813309.5,0.186691.5
La Serena Brunello di Montalcino Riserva Gemini,2006,brunello,96,94.009781.5,1.990219.5
San Filippo Brunello di Montalcino Le Lucere,2007,brunello,94,93.819443.5,0.180557.5
Uccelliera Brunello di Montalcino,2007,brunello,94,93.844009.5,0.155991.5
Banfi Brunello di Montalcino,2007,brunello,94,93.917717.5,0.082283.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2007,brunello,94,93.831726.5,0.168274.5
Il Poggione Brunello di Montalcino,2007,brunello,94,93.966858.5,0.033142.5
Primus Malbec,2010,malbec,90,91.896927.5,-1.896927.5
Gaja Rennina Brunello di Montalcino,2007,brunello,94,94.273956.5,-0.273956.5
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2006,brunello,93,94.071327.5,-1.071327.5
Tenute Silvio Nardi Brunello di Montalcino,2007,brunello,95,93.936142.5,1.063858.5
Podere Brizio Brunello di Montalcino,2007,brunello,92,93.825592.5,-1.825592.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2005,brunello,93,93.960831.5,-0.960831.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2006,brunello,95,94.126663.5,0.873337.5
Col d'Orcia Brunello di Montalcino,2007,brunello,92,93.751877.5,-1.751877.5
Camigliano Brunello di Montalcino,2007,brunello,91,93.813309.5,-2.813309.5
Gaja Sugarille Brunello di Montalcino,2008,brunello,92,94.507355.5,-2.507355.5
La Gerla Brunello di Montalcino,2007,brunello,92,93.813309.5,-1.813309.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2007,brunello,92,93.837875.5,-1.837875.5
Friggiali Brunello di Montalcino,2007,brunello,92,93.721176.5,-1.721176.5
Valdicava Brunello Riserva Madonna del Piano,2001,brunello,100,95.508911.5,4.491089.5
Achaval-Ferrer Finca Bella Vista Malbec,2011,malbec,98,92.560272.5,5.439728.5
Fuligni Brunello di Montalcino Riserva,2006,brunello,96,94.224884.5,1.775116.5
Val di Suga Brunello di Montalcino,2007,brunello,92,93.899292.5,-1.899292.5
Mastrojanni Brunello di Montalcino,2007,brunello,95,93.745743.5,1.254257.5
Ruffino Greppone Mazzi Brunello di Montalcino,2006,brunello,91,93.825645.5,-2.825645.5
Montes Alpha Series Malbec,2011,malbec,91,91.915298.5,-0.915298.5
La Poderina Brunello di Montalcino,2007,brunello,93,93.831726.5,-0.831726.5
Valle Las Acequias Malbec Roble,2008,malbec,91,91.829475.5,-0.829475.5
Achaval-Ferrer Finca Mirador Malbec,2011,malbec,93,92.529495.5,0.470505.5
Fuligni Brunello di Montalcino,2007,brunello,95,94.028152.5,0.971848.5
Lisini Brunello di Montalcino,2007,brunello,93,93.960709.5,-0.960709.5
Casanova di Neri Brunello di Montalcino White Label,2008,brunello,90,93.813248.5,-3.813248.5
Uccelliera Brunello di Montalcino Riserva,2006,brunello,96,94.194168.5,1.805832.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2008,brunello,94,93.985229.5,0.014771.5
Casanova di Neri Brunello di Montalcino Cerretalto,2007,brunello,97,95.127762.5,1.872238.5
La Poderina Brunello di Montalcino Poggio Abate Riserva,2006,brunello,96,93.887070.5,2.112930.5
Mastrojanni Brunello di Montalcino,2008,brunello,94,94.040565.5,-0.040565.5
Caparzo Brunello di Montalcino,2008,brunello,92,93.739548.5,-1.739548.5
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2007,brunello,95,94.273956.5,0.726044.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2008,brunello,93,93.923805.5,-0.923805.5
Banfi Brunello di Montalcino,2008,brunello,93,93.911514.5,-0.911514.5
Castiglion del Bosco Brunello di Montalcino,2007,brunello,92,93.764160.5,-1.764160.5
Altocedro Ano Cero Malbec,2012,malbec,92,91.958229.5,0.041771.5
Tenute Silvio Nardi Brunello di Montalcino,2008,brunello,92,93.800964.5,-1.800964.5
Achaval-Ferrer Mendoza Malbec,2012,malbec,90,91.976654.5,-1.976654.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2008,brunello,91,93.647415.5,-2.647415.5
Caparzo Brunello di Montalcino Riserva,2007,brunello,92,93.905434.5,-1.905434.5
Luce Della Vite Brunello di Montalcino,2008,brunello,95,93.985229.5,1.014771.5
Il Poggione Brunello di Montalcino,2008,brunello,91,93.954514.5,-2.954514.5
Argiano Brunello di Montalcino,2008,brunello,93,93.837814.5,-0.837814.5
Camigliano Brunello di Montalcino,2008,brunello,91,93.850098.5,-2.850098.5
La Poderina Brunello di Montalcino,2008,brunello,93,93.856247.5,-0.856247.5
San Filippo Brunello di Montalcino Le Lucere,2004,brunello,92,93.942520.5,-1.942520.5
Tenuta la Fuga Brunello di Montalcino,2006,brunello,93,93.764221.5,-0.764221.5
Conti Costanti Brunello di Montalcino Riserva,2007,brunello,95,94.145035.5,0.854965.5
Fabre Montmayou Grand Vin,2010,malbec,95,92.019760.5,2.980240.5
BenMarco Malbec,2012,malbec,90,91.921371.5,-1.921371.5
La Gerla Brunello di Montalcino,2008,brunello,92,93.800964.5,-1.800964.5
Livio Sassetti Brunello di Montalcino Pertimali,2008,brunello,93,93.770248.5,-0.770248.5
Altesino Brunello di Montalcino,2009,brunello,93,93.905319.5,-0.905319.5
Poggio Il Castellare Brunello di Montalcino,2007,brunello,94,93.905434.5,0.094566.5
Bodega Cuarto Dominio Chento Malbec,2011,malbec,92,91.933716.5,0.066284.5
Terrazas de los Andes Reserva Malbec,2012,malbec,92,91.921371.5,0.078629.5
Caparzo Brunello di Montalcino Riserva,2006,brunello,95,93.948486.5,1.051514.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2008,brunello,92,93.862381.5,-1.862381.5
Bodega Noemia de Patagonia Rio Negro Valley Malbec,2011,malbec,95,92.590912.5,2.409088.5
Susana Balbo Signature Malbec,2012,malbec,92,91.945938.5,0.054062.5
CARO Aruma Malbec,2013,malbec,91,91.939743.5,-0.939743.5
CARO Aruma Malbec,2012,malbec,90,91.915176.5,-1.915176.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2009,brunello,94,93.880753.5,0.119247.5
Casanova di Neri Brunello di Montalcino Cerretalto,2008,brunello,96,95.029373.5,0.970627.5
La Poderina Brunello di Montalcino Poggio Abate Riserva,2007,brunello,94,93.917717.5,0.082283.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2009,brunello,93,94.034302.5,-1.034302.5
Pascual Toso Malbec Reserve,2012,malbec,91,91.933655.5,-0.933655.5
Casanova di Neri Brunello di Montalcino White Label,2009,brunello,90,93.880753.5,-3.880753.5
Trivento Eolo Malbec,2011,malbec,94,92.455795.5,1.544205.5
Banfi Brunello di Montalcino,2009,brunello,91,93.954453.5,-2.954453.5
Recuerdo Malbec,2012,malbec,91,91.933655.5,-0.933655.5
Fossacolle Brunello di Montalcino,2009,brunello,92,93.862320.5,-1.862320.5
Caparzo Brunello di Montalcino,2009,brunello,90,93.733337.5,-3.733337.5
La Poderina Brunello di Montalcino Poggio Abate Riserva,2008,brunello,90,94.015930.5,-4.015930.5
Argiano Brunello di Montalcino,2009,brunello,92,93.850037.5,-1.850037.5
Vitanza Brunello di Montalcino Riserva,2006,brunello,93,93.782654.5,-0.782654.5
La Serena Brunello di Montalcino,2008,brunello,92,93.770248.5,-1.770248.5
Tenute Silvio Nardi Brunello di Montalcino,2009,brunello,92,94.065018.5,-2.065018.5
Siro Pacenti Brunello di Montalcino,2007,brunello,97,93.954575.5,3.045425.5
Dona Paula Estate Malbec,2012,malbec,93,91.890671.5,1.109329.5
Vina Amalia Reserva Malbec,2012,malbec,93,91.939804.5,1.060196.5
Catena Alta Malbec,2011,malbec,93,92.074982.5,0.925018.5
La Poderina Brunello di Montalcino,2009,brunello,91,93.837753.5,-2.837753.5
Zuccardi Q Malbec,2012,malbec,91,91.921371.5,-0.921371.5
Fattoria dei Barbi Brunello di Montalcino,2008,brunello,91,93.800964.5,-2.800964.5
Bodegas Nieto Senetiner Malbec,2012,malbec,92,91.921371.5,0.078629.5
Kaiken Ultra Malbec,2012,malbec,94,91.939804.5,2.060196.5
Bodega Calle Alberti 154 Malbec,2012,malbec,91,91.921371.5,-0.921371.5
Altesino Brunello di Montalcino Riserva,2007,brunello,95,93.905434.5,1.094566.5
Tenuta la Fuga Brunello di Montalcino,2009,brunello,90,93.880753.5,-3.880753.5
Il Poggione Brunello di Montalcino,2009,brunello,92,93.954453.5,-1.954453.5
Le Chiuse Brunello di Montalcino Riserva,2006,brunello,91,93.825645.5,-2.825645.5
Valdicava Brunello Riserva Madonna del Piano,2007,brunello,98,95.496284.5,2.503716.5
Valdicava Brunello di Montalcino,2008,brunello,94,94.286247.5,-0.286247.5
Poggio Antico Brunello di Montalcino Altero,2009,brunello,92,94.187851.5,-2.187851.5
Poggio Antico Brunello di Montalcino,2009,brunello,91,93.942169.5,-2.942169.5
Vina Cobos Felino Malbec,2013,malbec,92,91.952026.5,0.047974.5
Fabre Montmayou Grand Vin,2011,malbec,94,92.050415.5,1.949585.5
Durigutti Malbec Reserva,2011,malbec,91,91.964432.5,-0.964432.5
Durigutti Familia Malbec,2009,malbec,95,92.154945.5,2.845055.5
Luigi Bosca Malbec,2012,malbec,93,91.933655.5,1.066345.5
Fuligni Brunello di Montalcino Riserva,2007,brunello,95,94.304672.5,0.695328.5
Il Palazzone Brunello di Montalcino,2009,brunello,91,94.034302.5,-3.034302.5
Fuligni Brunello di Montalcino,2009,brunello,93,93.911469.5,-0.911469.5
Altocedro Reserva Malbec,2012,malbec,93,92.025787.5,0.974213.5
Mendel Malbec,2012,malbec,94,91.945938.5,2.054062.5
Caparzo Brunello di Montalcino Riserva,2009,brunello,90,94.003593.5,-4.003593.5
Vina Cobos Cobos Malbec,2011,malbec,100,92.928787.5,7.071213.5
Vina Cobos Bramare Rebon Vineyard Malbec,2011,malbec,96,92.308380.5,3.691620.5
Vina Cobos Bramare Uco Valley Malbec,2012,malbec,93,92.087212.5,0.912788.5
Bodega Colome Estate Malbec,2012,malbec,92,91.958229.5,0.041771.5
Mastrojanni Brunello di Montalcino Vigna Loreto,2008,brunello,92,94.015991.5,-2.015991.5
Alta Vista Estate Malbec,2013,malbec,90,91.933609.5,-1.933609.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2009,brunello,94,94.157211.5,-0.157211.5
Fabre Montmayou Reserva Malbec,2013,malbec,93,91.915176.5,1.084824.5
Finca Decero Remolinos Vineyard Malbec,2013,malbec,90,91.933609.5,-1.933609.5
BenMarco Malbec,2013,malbec,92,91.933609.5,0.066391.5
Fabre Montmayou Gran Reserva Malbec,2012,malbec,93,91.964371.5,1.035629.5
Casanova di Neri Brunello di Montalcino White Label,2010,brunello,96,93.929710.5,2.070290.5
Gaja Rennina Brunello di Montalcino,2010,brunello,94,94.574753.5,-0.574753.5
Altesino Brunello di Montalcino,2010,brunello,95,93.960541.5,1.039459.5
Gaja Sugarille Brunello di Montalcino,2010,brunello,97,94.605453.5,2.394547.5
Vina Cobos Bramare Rebon Vineyard Malbec,2012,malbec,94,92.332893.5,1.667107.5
Achaval-Ferrer Finca Altamira Malbec,2012,malbec,93,92.578575.5,0.421425.5
La Serena Brunello di Montalcino,2010,brunello,97,93.960541.5,3.039459.5
Gianni Brunelli Brunello di Montalcino,2010,brunello,95,93.837708.5,1.162292.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2010,brunello,94,94.359650.5,-0.359650.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2010,brunello,98,94.052734.5,3.947266.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro,2010,brunello,100,94.513329.5,5.486671.5
San Filippo Brunello di Montalcino,2010,brunello,97,93.929840.5,3.070160.5
San Filippo Brunello di Montalcino Le Lucere,2010,brunello,98,94.083389.5,3.916611.5
Voliero Brunello di Montalcino,2010,brunello,96,93.899124.5,2.100876.5
Siro Pacenti Brunello di Montalcino Pelagrilli,2010,brunello,96,93.886841.5,2.113159.5
Siro Pacenti Brunello di Montalcino,2010,brunello,100,94.328949.5,5.671051.5
Argiano Brunello di Montalcino,2010,brunello,98,94.021835.5,3.978165.5
Poggio Antico Brunello di Montalcino,2010,brunello,97,94.021965.5,2.978035.5
Poggio Antico Brunello di Montalcino Altero,2010,brunello,96,94.144806.5,1.855194.5
Canalicchio di Sopra Brunello di Montalcino,2010,brunello,96,94.328949.5,1.671051.5
Castello Romitorio Brunello di Montalcino,2010,brunello,94,93.960541.5,0.039459.5
Castello Romitorio Cru Filo di Seta Brunello di Montalcino,2010,brunello,98,94.212372.5,3.787628.5
Valdicava Brunello di Montalcino,2010,brunello,99,94.328949.5,4.671051.5
Valdicava Brunello Riserva Madonna del Piano,2009,brunello,94,94.433411.5,-0.433411.5
Ricardo Santos Malbec,2013,malbec,90,91.945831.5,-1.945831.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2010,brunello,99,95.250252.5,3.749748.5
Caparzo Brunello di Montalcino,2010,brunello,95,93.776283.5,1.223717.5
Caparzo Brunello di Montalcino La Casa,2010,brunello,96,93.985107.5,2.014893.5
Castiglion del Bosco Brunello di Montalcino,2010,brunello,96,93.819275.5,2.180725.5
Pascual Toso Estate Malbec,2013,malbec,90,91.909042.5,-1.909042.5
Fossacolle Brunello di Montalcino,2010,brunello,97,93.899124.5,3.100876.5
Talenti Brunello di Montalcino,2010,brunello,96,93.837708.5,2.162292.5
La Poderina Brunello di Montalcino,2010,brunello,94,93.813141.5,0.186859.5
Altesino Montosoli Brunello di Montalcino,2010,brunello,97,94.451904.5,2.548096.5
Banfi Brunello di Montalcino,2010,brunello,95,93.929840.5,1.070160.5
Achaval-Ferrer Finca Bella Vista Malbec,2012,malbec,92,92.609283.5,-0.609283.5
San Felice Campogiovanni Brunello di Montalcino,2010,brunello,96,93.862274.5,2.137726.5
Piccini Brunello di Montalcino,2010,brunello,94,93.929840.5,0.070160.5
Altocedro Ano Cero Malbec,2013,malbec,90,91.921326.5,-1.921326.5
Fuligni Brunello di Montalcino,2010,brunello,98,94.028107.5,3.971893.5
Banfi Poggio alle Mura Brunello di Montalcino,2010,brunello,97,94.200150.5,2.799850.5
Fattoria dei Barbi Brunello di Montalcino,2010,brunello,96,93.862274.5,2.137726.5
Podere Brizio Brunello di Montalcino,2010,brunello,93,93.899124.5,-0.899124.5
Uccelliera Brunello di Montalcino,2010,brunello,94,93.972824.5,0.027176.5
Tenute Silvio Nardi Brunello di Montalcino,2010,brunello,95,93.892982.5,1.107018.5
La Gerla Brunello di Montalcino,2010,brunello,94,93.929840.5,0.070160.5
Mastrojanni Brunello di Montalcino,2010,brunello,98,94.021965.5,3.978035.5
Il Palazzone Brunello di Montalcino,2010,brunello,95,93.849991.5,1.150009.5
Belasco de Baquedano AR Guentota Malbec,2011,malbec,90,91.945999.5,-1.945999.5
Concha y Toro Gran Reserva Serie Riberas Malbec,2013,malbec,92,91.945892.5,0.054108.5
Il Poggione Brunello di Montalcino,2010,brunello,93,94.144684.5,-1.144684.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2010,brunello,97,93.991257.5,3.008743.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro,2007,brunello,97,94.083618.5,2.916382.5
Vina Alicia Paso de Piedra Malbec,2012,malbec,90,91.915237.5,-1.915237.5
Le Potazzine Gorelli Brunello di Montalcino,2009,brunello,91,93.850037.5,-2.850037.5
Il Marroneto Brunello di Montalcino,2010,brunello,93,94.021965.5,-1.021965.5
Fanti Brunello di Montalcino,2010,brunello,94,93.813141.5,0.186859.5
Il Marroneto Brunello Madonne delle Grazie,2010,brunello,94,96.816467.5,-2.816467.5
Cordella Brunello di Montalcino,2010,brunello,98,93.960541.5,4.039459.5
Bellaria Brunello di Montalcino Assunto,2010,brunello,97,93.899124.5,3.100876.5
La Fortuna Brunello di Montalcino,2010,brunello,96,93.837708.5,2.162292.5
Marco Lazzeretti Brunello di Montalcino,2010,brunello,94,93.733292.5,0.266708.5
Citille di Sopra Brunello di Montalcino,2010,brunello,96,93.868408.5,2.131592.5
Tapiz Alta Collection Malbec,2012,malbec,93,91.939804.5,1.060196.5
Bodega Monteviejo Festivo Malbec,2013,malbec,91,91.939743.5,-0.939743.5
Ricardo Santos Gran Reserva Malbec,2009,malbec,91,91.982971.5,-0.982971.5
Calcu Malbec,2012,malbec,90,91.896805.5,-1.896805.5
Lamadrid Gran Reserva Malbec,2010,malbec,93,91.952209.5,1.047791.5
Tapiz Seleccion de Barricas Red,2009,malbec,92,91.970688.5,0.029312.5
Alamos Malbec Mendoza Seleccion,2013,malbec,91,91.933609.5,-0.933609.5
MAAL Biutiful Malbec,2013,malbec,91,91.952026.5,-0.952026.5
Conti Costanti Brunello di Montalcino,2009,brunello,92,93.972885.5,-1.972885.5
Val di Suga Vigna del Lago Brunello di Montalcino,2009,brunello,91,93.972885.5,-2.972885.5
Val di Suga Vigna Spuntali Brunello di Montalcino,2009,brunello,92,94.126373.5,-2.126373.5
Val di Suga Poggio al Granchio Brunello di Montalcino,2009,brunello,91,94.095718.5,-3.095718.5
Voliero Brunello di Montalcino,2009,brunello,92,93.794769.5,-1.794769.5
Camigliano Gualto Brunello di Montalcino Riserva,2006,brunello,90,94.071327.5,-4.071327.5
Altesino Montosoli Brunello di Montalcino,2009,brunello,95,94.187851.5,0.812149.5
Le Ragnaie Brunello di Montalcino,2010,brunello,98,94.328949.5,3.671051.5
Le Chiuse Brunello di Montalcino,2010,brunello,95,93.899124.5,1.100876.5
Antucura Malbec,2014,malbec,90,91.951973.5,-1.951973.5
Casarena Lauren's Vineyard Malbec,2011,malbec,91,92.050415.5,-1.050415.5
CARO Aruma Malbec,2014,malbec,90,91.933548.5,-1.933548.5
Caparzo Brunello di Montalcino Riserva,2012,brunello,92,94.156967.5,-2.156967.5
Dona Paula Estate Malbec,2013,malbec,92,91.921326.5,0.078674.5
Poggio Antico Brunello di Montalcino Altero,1997,brunello,94,93.961342.5,0.038658.5
Recuerdo Aliado Malbec,2012,malbec,90,92.007370.5,-2.007370.5
