name,vintage,type,price,score,prediction,difference
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2001,brunello,209.97,97,95.29795,1.70205
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2004,brunello,93.97,94,94.19586,-0.19586
Altesino Brunello di Montalcino,2004,brunello,49.99,92,93.77802,-1.77802
Argiano Brunello di Montalcino,2004,brunello,69.97,96,93.96785,2.03215
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2004,brunello,119.97,96,94.44289,1.55711
Tenute Silvio Nardi Brunello di Montalcino,2004,brunello,74.99,92,94.01553,-2.01553
Banfi Brunello di Montalcino,2004,brunello,69.97,93,93.96785,-0.96785
Casanova di Neri Brunello di Montalcino Cerretalto,2004,brunello,249.00,98,95.66876,2.33124
Uccelliera Brunello di Montalcino,2004,brunello,109.99,96,94.34807,1.65193
Fuligni Brunello di Montalcino,2004,brunello,79.99,96,94.06304,1.93696
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2005,brunello,99.97,93,94.25287,-1.25287
Vitanza Brunello di Montalcino,2004,brunello,62.99,94,93.90153,0.09847
Fuligni Brunello di Montalcino,2005,brunello,78.99,92,94.05354,-2.05354
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2001,brunello,659.00,100,99.56409,0.43591
Antinori Pian Delle Vigne Brunello Di Montalcino,2005,brunello,72.99,90,93.99654,-3.99654
Valdicava Brunello di Montalcino,2004,brunello,129.97,95,94.53789,0.46211
Valdicava Brunello di Montalcino,2006,brunello,129.97,97,94.53789,2.46211
Capanna Brunello di Montalcino,2006,brunello,44.97,95,93.73032,1.26968
Casanova di Neri Brunello di Montalcino White Label,2006,brunello,49.99,92,93.77802,-1.77802
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2006,brunello,149.97,100,94.72791,5.27209
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2006,brunello,69.99,96,93.96803,2.03197
Poggio Antico Brunello di Montalcino,2006,brunello,71.99,95,93.98704,1.01296
Poggio Antico Brunello di Montalcino Altero,2006,brunello,68.99,95,93.95853,1.04147
Canalicchio di Sopra Brunello di Montalcino,2006,brunello,44.97,90,93.73032,-3.73032
BenMarco Malbec,2009,malbec,19.99,92,91.77303,0.22697
Banfi Brunello di Montalcino,2006,brunello,67.99,95,93.94904,1.05096
La Poderina Brunello di Montalcino,2006,brunello,53.99,95,93.81602,1.18398
Fattoria dei Barbi Brunello di Montalcino,2005,brunello,41.97,90,93.70183,-3.70183
Argiano Brunello di Montalcino,2006,brunello,57.99,92,93.85403,-1.85403
Col d'Orcia Brunello di Montalcino,2004,brunello,49.99,91,93.77802,-2.77802
Frescobaldi Castelgiocondo Brunello di Montalcino,2006,brunello,59.99,95,93.87303,1.12697
Col d'Orcia Brunello di Montalcino,2006,brunello,58.99,94,93.86353,0.13647
Luce Della Vite Brunello di Montalcino,2006,brunello,99.00,100,94.24365,5.75635
Fuligni Brunello di Montalcino,2006,brunello,54.97,96,93.82533,2.17467
Conti Costanti Brunello di Montalcino,2006,brunello,79.99,91,94.06304,-3.06304
Camigliano Brunello di Montalcino,2006,brunello,47.19,91,93.75142,-2.75142
Fattoria dei Barbi Brunello di Montalcino,2006,brunello,109.99,90,94.34807,-4.34807
Da Vinci Brunello di Montalcino,2006,brunello,66.99,92,93.93953,-1.93953
Dona Paula Malbec Seleccion de Bodega,2009,malbec,39.99,93,91.96305,1.03695
Antinori Pian Delle Vigne Brunello Di Montalcino,2006,brunello,69.99,95,93.96803,1.03197
Mastrojanni Brunello di Montalcino,2006,brunello,49.99,94,93.77802,0.22198
Tenute Silvio Nardi Brunello di Montalcino,2006,brunello,65.99,94,93.93003,0.06997
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2004,brunello,229.00,97,95.47875,1.52125
Valdicava Brunello Riserva Madonna del Piano,2006,brunello,259.00,100,95.76378,4.23622
Valdicava Brunello di Montalcino,2007,brunello,149.99,98,94.72810,3.27190
Canalicchio di Sopra Brunello di Montalcino,2007,brunello,52.79,92,93.80463,-1.80463
Castello Romitorio Brunello di Montalcino,2007,brunello,58.99,92,93.86353,-1.86353
Casanova di Neri Brunello di Montalcino White Label,2007,brunello,57.99,91,93.85403,-2.85403
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2007,brunello,109.97,97,94.34787,2.65213
Casanova di Neri Brunello di Montalcino Cerretalto,2006,brunello,249.00,99,95.66876,3.33124
Val di Suga Brunello di Montalcino,2006,brunello,54.99,92,93.82552,-1.82552
Altesino Brunello di Montalcino,2007,brunello,99.97,91,94.25287,-3.25287
Altesino Montosoli Brunello di Montalcino,2007,brunello,139.97,98,94.63290,3.36710
Altesino Brunello di Montalcino Riserva,2006,brunello,89.00,95,94.14864,0.85136
Poggio San Polo Brunello di Montalcino,2007,brunello,63.99,94,93.91103,0.08897
Poggio San Polo Brunello di Montalcino Riserva,2006,brunello,66.99,94,93.93953,0.06047
Salicutti Brunello di Montalcino Piaggione,2007,brunello,79.99,93,94.06304,-1.06304
Valdicava Brunello di Montalcino,1999,brunello,119.00,91,94.43367,-3.43367
Valdicava Brunello di Montalcino,2001,brunello,179.97,98,95.01292,2.98708
San Felice Campogiovanni Brunello di Montalcino,2007,brunello,43.99,94,93.72102,0.27898
San Felice Campogiovanni Brunello di Montalcino Il Quercione,2006,brunello,89.99,93,94.15805,-1.15805
Capanna Brunello di Montalcino,2007,brunello,57.99,94,93.85403,0.14597
Capanna Brunello di Montalcino Riserva,2006,brunello,99.99,95,94.25306,0.74694
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2007,brunello,71.99,96,93.98704,2.01296
Poggio Antico Brunello di Montalcino,2007,brunello,85.00,94,94.11064,-0.11064
Poggio Antico Brunello di Montalcino Altero,2007,brunello,89.00,98,94.14864,3.85136
Poggio Antico Brunello di Montalcino Riserva,2006,brunello,135.00,94,94.58568,-0.58568
Pietranera Brunello di Montalcino,2007,brunello,42.99,90,93.71152,-3.71152
La Serena Brunello di Montalcino,2007,brunello,54.99,94,93.82552,0.17448
La Serena Brunello di Montalcino Riserva Gemini,2006,brunello,89.97,96,94.15786,1.84214
San Filippo Brunello di Montalcino Le Lucere,2007,brunello,55.99,94,93.83502,0.16498
Uccelliera Brunello di Montalcino,2007,brunello,59.99,94,93.87303,0.12697
Banfi Brunello di Montalcino,2007,brunello,71.99,94,93.98704,0.01296
Frescobaldi Castelgiocondo Brunello di Montalcino,2007,brunello,57.99,94,93.85403,0.14597
Il Poggione Brunello di Montalcino,2007,brunello,79.99,94,94.06304,-0.06304
Primus Malbec,2010,malbec,19.99,90,91.77303,-1.77303
Gaja Rennina Brunello di Montalcino,2007,brunello,129.99,94,94.53809,-0.53809
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2006,brunello,99.99,93,94.25306,-1.25306
Tenute Silvio Nardi Brunello di Montalcino,2007,brunello,74.99,95,94.01553,0.98447
Podere Brizio Brunello di Montalcino,2007,brunello,56.99,92,93.84453,-1.84453
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2005,brunello,84.99,93,94.11055,-1.11055
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2006,brunello,109.00,95,94.33866,0.66134
Col d'Orcia Brunello di Montalcino,2007,brunello,44.99,92,93.73051,-1.73051
Camigliano Brunello di Montalcino,2007,brunello,54.99,91,93.82552,-2.82552
Gaja Sugarille Brunello di Montalcino,2008,brunello,165.00,92,94.87070,-2.87070
La Gerla Brunello di Montalcino,2007,brunello,54.99,92,93.82552,-1.82552
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2007,brunello,58.99,92,93.86353,-1.86353
Friggiali Brunello di Montalcino,2007,brunello,39.99,92,93.68301,-1.68301
Valdicava Brunello Riserva Madonna del Piano,2001,brunello,349.00,100,96.61884,3.38116
Achaval-Ferrer Finca Bella Vista Malbec,2011,malbec,125.00,98,92.77071,5.22929
Fuligni Brunello di Montalcino Riserva,2006,brunello,124.99,96,94.49058,1.50942
Val di Suga Brunello di Montalcino,2007,brunello,68.99,92,93.95853,-1.95853
Mastrojanni Brunello di Montalcino,2007,brunello,43.99,95,93.72102,1.27898
Ruffino Greppone Mazzi Brunello di Montalcino,2006,brunello,59.99,91,93.87303,-2.87303
Montes Alpha Series Malbec,2011,malbec,19.99,91,91.77303,-0.77303
La Poderina Brunello di Montalcino,2007,brunello,57.99,93,93.85403,-0.85403
Valle Las Acequias Malbec Roble,2008,malbec,14.99,91,91.72552,-0.72552
Achaval-Ferrer Finca Mirador Malbec,2011,malbec,119.99,93,92.72311,0.27689
Fuligni Brunello di Montalcino,2007,brunello,89.97,95,94.15786,0.84214
Lisini Brunello di Montalcino,2007,brunello,78.99,93,94.05354,-1.05354
Casanova di Neri Brunello di Montalcino White Label,2008,brunello,51.99,90,93.79702,-3.79702
Uccelliera Brunello di Montalcino Riserva,2006,brunello,119.99,96,94.44307,1.55693
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2008,brunello,79.99,94,94.06304,-0.06304
Casanova di Neri Brunello di Montalcino Cerretalto,2007,brunello,269.00,97,95.85878,1.14122
La Poderina Brunello di Montalcino Poggio Abate Riserva,2006,brunello,69.99,96,93.96803,2.03197
Mastrojanni Brunello di Montalcino,2008,brunello,89.00,94,94.14864,-0.14864
Caparzo Brunello di Montalcino,2008,brunello,39.99,92,93.68301,-1.68301
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2007,brunello,129.99,95,94.53809,0.46191
Frescobaldi Castelgiocondo Brunello di Montalcino,2008,brunello,69.99,93,93.96803,-0.96803
Banfi Brunello di Montalcino,2008,brunello,67.99,93,93.94904,-0.94904
Castiglion del Bosco Brunello di Montalcino,2007,brunello,46.99,92,93.74951,-1.74951
Altocedro Ano Cero Malbec,2012,malbec,23.99,92,91.81104,0.18896
Tenute Silvio Nardi Brunello di Montalcino,2008,brunello,49.99,92,93.77802,-1.77802
Achaval-Ferrer Mendoza Malbec,2012,malbec,26.99,90,91.83954,-1.83954
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2008,brunello,24.99,91,93.54050,-2.54050
Caparzo Brunello di Montalcino Riserva,2007,brunello,69.99,92,93.96803,-1.96803
Luce Della Vite Brunello di Montalcino,2008,brunello,79.99,95,94.06304,0.93696
Il Poggione Brunello di Montalcino,2008,brunello,74.99,91,94.01553,-3.01553
Argiano Brunello di Montalcino,2008,brunello,55.99,93,93.83502,-0.83502
Camigliano Brunello di Montalcino,2008,brunello,57.99,91,93.85403,-2.85403
La Poderina Brunello di Montalcino,2008,brunello,58.99,93,93.86353,-0.86353
San Filippo Brunello di Montalcino Le Lucere,2004,brunello,85.00,92,94.11064,-2.11064
Tenuta la Fuga Brunello di Montalcino,2006,brunello,49.99,93,93.77802,-0.77802
Conti Costanti Brunello di Montalcino Riserva,2007,brunello,109.00,95,94.33866,0.66134
Fabre Montmayou Grand Vin,2010,malbec,39.99,95,91.96305,3.03695
BenMarco Malbec,2012,malbec,17.99,90,91.75403,-1.75403
La Gerla Brunello di Montalcino,2008,brunello,49.99,92,93.77802,-1.77802
Livio Sassetti Brunello di Montalcino Pertimali,2008,brunello,44.99,93,93.73051,-0.73051
Altesino Brunello di Montalcino,2009,brunello,63.99,93,93.91103,-0.91103
Poggio Il Castellare Brunello di Montalcino,2007,brunello,69.99,94,93.96803,0.03197
Bodega Cuarto Dominio Chento Malbec,2011,malbec,22.99,92,91.80154,0.19846
Terrazas de los Andes Reserva Malbec,2012,malbec,17.99,92,91.75403,0.24597
Caparzo Brunello di Montalcino Riserva,2006,brunello,79.99,95,94.06304,0.93696
Antinori Pian Delle Vigne Brunello Di Montalcino,2008,brunello,59.99,92,93.87303,-1.87303
Bodega Noemia de Patagonia Rio Negro Valley Malbec,2011,malbec,129.99,95,92.81812,2.18188
Susana Balbo Signature Malbec,2012,malbec,21.99,92,91.79204,0.20796
CARO Aruma Malbec,2013,malbec,17.99,91,91.75403,-0.75403
CARO Aruma Malbec,2012,malbec,16.98,90,91.74444,-1.74444
Frescobaldi Castelgiocondo Brunello di Montalcino,2009,brunello,59.99,94,93.87303,0.12697
Casanova di Neri Brunello di Montalcino Cerretalto,2008,brunello,249.99,96,95.67818,0.32182
La Poderina Brunello di Montalcino Poggio Abate Riserva,2007,brunello,71.99,94,93.98704,0.01296
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2009,brunello,84.99,93,94.11055,-1.11055
Pascual Toso Malbec Reserve,2012,malbec,19.99,91,91.77303,-0.77303
Casanova di Neri Brunello di Montalcino White Label,2009,brunello,59.99,90,93.87303,-3.87303
Trivento Eolo Malbec,2011,malbec,107.99,94,92.60910,1.39090
Banfi Brunello di Montalcino,2009,brunello,71.99,91,93.98704,-2.98704
Recuerdo Malbec,2012,malbec,19.99,91,91.77303,-0.77303
Fossacolle Brunello di Montalcino,2009,brunello,56.99,92,93.84453,-1.84453
Caparzo Brunello di Montalcino,2009,brunello,35.99,90,93.64500,-3.64500
La Poderina Brunello di Montalcino Poggio Abate Riserva,2008,brunello,84.99,90,94.11055,-4.11055
Argiano Brunello di Montalcino,2009,brunello,54.99,92,93.82552,-1.82552
Vitanza Brunello di Montalcino Riserva,2006,brunello,52.99,93,93.80652,-0.80652
La Serena Brunello di Montalcino,2008,brunello,44.99,92,93.73051,-1.73051
Tenute Silvio Nardi Brunello di Montalcino,2009,brunello,89.99,92,94.15805,-2.15805
Siro Pacenti Brunello di Montalcino,2007,brunello,77.99,97,94.04404,2.95596
Dona Paula Estate Malbec,2012,malbec,12.99,93,91.70653,1.29347
Vina Amalia Reserva Malbec,2012,malbec,20.99,93,91.78253,1.21747
Catena Alta Malbec,2011,malbec,45.99,93,92.02005,0.97995
La Poderina Brunello di Montalcino,2009,brunello,52.99,91,93.80652,-2.80652
Zuccardi Q Malbec,2012,malbec,17.99,91,91.75403,-0.75403
Fattoria dei Barbi Brunello di Montalcino,2008,brunello,49.99,91,93.77802,-2.77802
Bodegas Nieto Senetiner Malbec,2012,malbec,17.99,92,91.75403,0.24597
Kaiken Ultra Malbec,2012,malbec,20.99,94,91.78253,2.21747
Bodega Calle Alberti 154 Malbec,2012,malbec,17.99,91,91.75403,-0.75403
Altesino Brunello di Montalcino Riserva,2007,brunello,69.99,95,93.96803,1.03197
Tenuta la Fuga Brunello di Montalcino,2009,brunello,59.99,90,93.87303,-3.87303
Il Poggione Brunello di Montalcino,2009,brunello,71.99,92,93.98704,-1.98704
Le Chiuse Brunello di Montalcino Riserva,2006,brunello,59.99,91,93.87303,-2.87303
Valdicava Brunello Riserva Madonna del Piano,2007,brunello,329.00,98,96.42883,1.57117
Valdicava Brunello di Montalcino,2008,brunello,129.00,94,94.52867,-0.52867
Poggio Antico Brunello di Montalcino Altero,2009,brunello,109.99,92,94.34807,-2.34807
Poggio Antico Brunello di Montalcino,2009,brunello,69.99,91,93.96803,-2.96803
Vina Cobos Felino Malbec,2013,malbec,19.99,92,91.77303,0.22697
Fabre Montmayou Grand Vin,2011,malbec,41.99,94,91.98205,2.01795
Durigutti Malbec Reserva,2011,malbec,27.99,91,91.84904,-0.84904
Durigutti Familia Malbec,2009,malbec,64.99,95,92.20057,2.79943
Luigi Bosca Malbec,2012,malbec,19.99,93,91.77303,1.22697
Fuligni Brunello di Montalcino Riserva,2007,brunello,134.99,95,94.58559,0.41441
Il Palazzone Brunello di Montalcino,2009,brunello,84.99,91,94.11055,-3.11055
Fuligni Brunello di Montalcino,2009,brunello,64.99,93,93.92053,-0.92053
Altocedro Reserva Malbec,2012,malbec,34.99,93,91.91554,1.08446
Mendel Malbec,2012,malbec,21.99,94,91.79204,2.20796
Caparzo Brunello di Montalcino Riserva,2009,brunello,79.99,90,94.06304,-4.06304
Vina Cobos Cobos Malbec,2011,malbec,185.00,100,93.34076,6.65924
Vina Cobos Bramare Rebon Vineyard Malbec,2011,malbec,83.99,96,92.38108,3.61892
Vina Cobos Bramare Uco Valley Malbec,2012,malbec,44.99,93,92.01055,0.98945
Bodega Colome Estate Malbec,2012,malbec,23.99,92,91.81104,0.18896
Mastrojanni Brunello di Montalcino Vigna Loreto,2008,brunello,85.00,92,94.11064,-2.11064
Alta Vista Estate Malbec,2013,malbec,16.99,90,91.74453,-1.74453
Antinori Pian Delle Vigne Brunello Di Montalcino,2009,brunello,105.00,94,94.30066,-0.30066
Fabre Montmayou Reserva Malbec,2013,malbec,13.99,93,91.71603,1.28397
Finca Decero Remolinos Vineyard Malbec,2013,malbec,16.99,90,91.74453,-1.74453
BenMarco Malbec,2013,malbec,16.99,92,91.74453,0.25547
Fabre Montmayou Gran Reserva Malbec,2012,malbec,24.99,93,91.82054,1.17946
Casanova di Neri Brunello di Montalcino White Label,2010,brunello,64.97,96,93.92034,2.07966
Gaja Rennina Brunello di Montalcino,2010,brunello,169.99,94,94.91811,-0.91811
Altesino Brunello di Montalcino,2010,brunello,69.99,95,93.96803,1.03197
Gaja Sugarille Brunello di Montalcino,2010,brunello,174.99,97,94.96561,2.03439
Vina Cobos Bramare Rebon Vineyard Malbec,2012,malbec,84.99,94,92.39058,1.60942
Achaval-Ferrer Finca Altamira Malbec,2012,malbec,124.99,93,92.77061,0.22939
La Serena Brunello di Montalcino,2010,brunello,69.99,97,93.96803,3.03197
Gianni Brunelli Brunello di Montalcino,2010,brunello,49.99,95,93.77802,1.22198
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2010,brunello,134.97,94,94.58540,-0.58540
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2010,brunello,85.00,98,94.11064,3.88936
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro,2010,brunello,159.99,100,94.82310,5.17690
San Filippo Brunello di Montalcino,2010,brunello,64.99,97,93.92053,3.07947
San Filippo Brunello di Montalcino Le Lucere,2010,brunello,89.99,98,94.15805,3.84195
Voliero Brunello di Montalcino,2010,brunello,59.99,96,93.87303,2.12697
Siro Pacenti Brunello di Montalcino Pelagrilli,2010,brunello,57.99,96,93.85403,2.14597
Siro Pacenti Brunello di Montalcino,2010,brunello,129.97,100,94.53789,5.46211
Argiano Brunello di Montalcino,2010,brunello,79.97,98,94.06285,3.93715
Poggio Antico Brunello di Montalcino,2010,brunello,79.99,97,94.06304,2.93696
Poggio Antico Brunello di Montalcino Altero,2010,brunello,99.99,96,94.25306,1.74694
Canalicchio di Sopra Brunello di Montalcino,2010,brunello,129.97,96,94.53789,1.46211
Castello Romitorio Brunello di Montalcino,2010,brunello,69.99,94,93.96803,0.03197
Castello Romitorio Cru Filo di Seta Brunello di Montalcino,2010,brunello,110.99,98,94.35757,3.64243
Valdicava Brunello di Montalcino,2010,brunello,129.97,99,94.53789,4.46211
Valdicava Brunello Riserva Madonna del Piano,2009,brunello,149.97,94,94.72791,-0.72791
Ricardo Santos Malbec,2013,malbec,18.98,90,91.76344,-1.76344
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2010,brunello,279.97,99,95.96301,3.03699
Caparzo Brunello di Montalcino,2010,brunello,39.99,95,93.68301,1.31699
Caparzo Brunello di Montalcino La Casa,2010,brunello,73.99,96,94.00604,1.99396
Castiglion del Bosco Brunello di Montalcino,2010,brunello,46.99,96,93.74951,2.25049
Pascual Toso Estate Malbec,2013,malbec,12.99,90,91.70653,-1.70653
Fossacolle Brunello di Montalcino,2010,brunello,59.99,97,93.87303,3.12697
Talenti Brunello di Montalcino,2010,brunello,49.99,96,93.77802,2.22198
La Poderina Brunello di Montalcino,2010,brunello,45.99,94,93.74002,0.25998
Altesino Montosoli Brunello di Montalcino,2010,brunello,149.99,97,94.72810,2.27190
Banfi Brunello di Montalcino,2010,brunello,64.99,95,93.92053,1.07947
Achaval-Ferrer Finca Bella Vista Malbec,2012,malbec,129.99,92,92.81812,-0.81812
San Felice Campogiovanni Brunello di Montalcino,2010,brunello,53.99,96,93.81602,2.18398
Piccini Brunello di Montalcino,2010,brunello,64.99,94,93.92053,0.07947
Altocedro Ano Cero Malbec,2013,malbec,14.99,90,91.72552,-1.72552
Fuligni Brunello di Montalcino,2010,brunello,80.99,98,94.07254,3.92746
Banfi Poggio alle Mura Brunello di Montalcino,2010,brunello,109.00,97,94.33866,2.66134
Fattoria dei Barbi Brunello di Montalcino,2010,brunello,53.99,96,93.81602,2.18398
Podere Brizio Brunello di Montalcino,2010,brunello,59.99,93,93.87303,-0.87303
Uccelliera Brunello di Montalcino,2010,brunello,71.99,94,93.98704,0.01296
Tenute Silvio Nardi Brunello di Montalcino,2010,brunello,58.99,95,93.86353,1.13647
La Gerla Brunello di Montalcino,2010,brunello,64.99,94,93.92053,0.07947
Mastrojanni Brunello di Montalcino,2010,brunello,79.99,98,94.06304,3.93696
Il Palazzone Brunello di Montalcino,2010,brunello,51.99,95,93.79702,1.20298
Belasco de Baquedano AR Guentota Malbec,2011,malbec,24.99,90,91.82054,-1.82054
Concha y Toro Gran Reserva Serie Riberas Malbec,2013,malbec,18.99,92,91.76353,0.23647
Il Poggione Brunello di Montalcino,2010,brunello,99.97,93,94.25287,-1.25287
Frescobaldi Castelgiocondo Brunello di Montalcino,2010,brunello,74.99,97,94.01553,2.98447
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro,2007,brunello,99.00,97,94.24365,2.75635
Vina Alicia Paso de Piedra Malbec,2012,malbec,16.99,90,91.74453,-1.74453
Le Potazzine Gorelli Brunello di Montalcino,2009,brunello,54.99,91,93.82552,-2.82552
Il Marroneto Brunello di Montalcino,2010,brunello,79.99,93,94.06304,-1.06304
Fanti Brunello di Montalcino,2010,brunello,45.99,94,93.74002,0.25998
Il Marroneto Brunello Madonne delle Grazie,2010,brunello,534.97,94,98.38570,-4.38570
Cordella Brunello di Montalcino,2010,brunello,69.99,98,93.96803,4.03197
Bellaria Brunello di Montalcino Assunto,2010,brunello,59.99,97,93.87303,3.12697
La Fortuna Brunello di Montalcino,2010,brunello,49.99,96,93.77802,2.22198
Marco Lazzeretti Brunello di Montalcino,2010,brunello,32.99,94,93.61651,0.38349
Citille di Sopra Brunello di Montalcino,2010,brunello,54.99,96,93.82552,2.17448
Tapiz Alta Collection Malbec,2012,malbec,20.99,93,91.78253,1.21747
Bodega Monteviejo Festivo Malbec,2013,malbec,17.99,91,91.75403,-0.75403
Ricardo Santos Gran Reserva Malbec,2009,malbec,36.99,91,91.93455,-0.93455
Calcu Malbec,2012,malbec,13.99,90,91.71603,-1.71603
Lamadrid Gran Reserva Malbec,2010,malbec,28.99,93,91.85854,1.14146
Tapiz Seleccion de Barricas Red,2009,malbec,34.99,92,91.91554,0.08446
Alamos Malbec Mendoza Seleccion,2013,malbec,16.99,91,91.74453,-0.74453
MAAL Biutiful Malbec,2013,malbec,19.99,91,91.77303,-0.77303
Conti Costanti Brunello di Montalcino,2009,brunello,74.99,92,94.01553,-2.01553
Val di Suga Vigna del Lago Brunello di Montalcino,2009,brunello,74.99,91,94.01553,-3.01553
Val di Suga Vigna Spuntali Brunello di Montalcino,2009,brunello,99.98,92,94.25296,-2.25296
Val di Suga Poggio al Granchio Brunello di Montalcino,2009,brunello,94.99,91,94.20555,-3.20555
Voliero Brunello di Montalcino,2009,brunello,45.99,92,93.74002,-1.74002
Camigliano Gualto Brunello di Montalcino Riserva,2006,brunello,99.99,90,94.25306,-4.25306
Altesino Montosoli Brunello di Montalcino,2009,brunello,109.99,95,94.34807,0.65193
Le Ragnaie Brunello di Montalcino,2010,brunello,129.97,98,94.53789,3.46211
Le Chiuse Brunello di Montalcino,2010,brunello,59.99,95,93.87303,1.12697
Antucura Malbec,2014,malbec,16.99,90,91.74453,-1.74453
Casarena Lauren's Vineyard Malbec,2011,malbec,41.99,91,91.98205,-0.98205
CARO Aruma Malbec,2014,malbec,13.99,90,91.71603,-1.71603
Caparzo Brunello di Montalcino Riserva,2012,brunello,95.99,92,94.21506,-2.21506
Dona Paula Estate Malbec,2013,malbec,14.99,92,91.72552,0.27448
Poggio Antico Brunello di Montalcino Altero,1997,brunello,109.00,94,94.33866,-0.33866
Recuerdo Aliado Malbec,2012,malbec,31.99,90,91.88704,-1.88704
